
1623706292.999519,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A34SUZWGLXIWM8'}
1623706293.506783,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A34SUZWGLXIWM8'}
1623706294.125699,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A34SUZWGLXIWM8'}
1623706294.637852,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A34SUZWGLXIWM8'}
1623706295.354547,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A34SUZWGLXIWM8'}
1623706295.968963,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A34SUZWGLXIWM8'}
1623706296.481008,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34SUZWGLXIWM8'}
1623706298.017543,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A34SUZWGLXIWM8'}
1623706298.018405,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A34SUZWGLXIWM8'}
1623706328.123391,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A34SUZWGLXIWM8'}
1623706329.561626,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34SUZWGLXIWM8'}
1623706330.070475,A34SUZWGLXIWM8,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A34SUZWGLXIWM8'}
