
1624039520.756928,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'complete', 'score': 41, 'worker-id': 'A1GTMV7M3JGNVC'}
1624039524.954209,A1GTMV7M3JGNVC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039531.100625,A1GTMV7M3JGNVC,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039547.976675,A1GTMV7M3JGNVC,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039552.293835,A1GTMV7M3JGNVC,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039552.496856,A1GTMV7M3JGNVC,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039552.521749,A1GTMV7M3JGNVC,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6057142857142858,0.9542857142857143]', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039552.704004,A1GTMV7M3JGNVC,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039553.832047,A1GTMV7M3JGNVC,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7114285714285714,0.9885714285714285]', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039553.834543,A1GTMV7M3JGNVC,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039554.138022,A1GTMV7M3JGNVC,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7314285714285714,0.9514285714285714]', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039554.267348,A1GTMV7M3JGNVC,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7314285714285714,0.9428571428571428]', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039554.752845,A1GTMV7M3JGNVC,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.68,0.96]', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039554.980332,A1GTMV7M3JGNVC,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6771428571428572,0.96]', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039555.675637,A1GTMV7M3JGNVC,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6942857142857143,0.9457142857142857]', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039555.676432,A1GTMV7M3JGNVC,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7057142857142857,0.9371428571428572]', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039555.824118,A1GTMV7M3JGNVC,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.7057142857142857,0.9371428571428572]', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039556.028394,A1GTMV7M3JGNVC,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.6971428571428572,0.9171428571428571]', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039556.287767,A1GTMV7M3JGNVC,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5885714285714285,0.9085714285714286]', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039556.551307,A1GTMV7M3JGNVC,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5685714285714286,0.9142857142857143]', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
1624039556.762068,A1GTMV7M3JGNVC,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5628571428571428,0.8771428571428571]', 'worker-id': 'A1GTMV7M3JGNVC', 'stage': 0}
