
1614298313.523809,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298314.150802,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298314.881522,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298315.195591,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298316.031058,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298316.277983,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298317.494012,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298317.496106,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298318.746183,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298319.158168,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298320.103724,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298320.730618,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298321.357968,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298322.031007,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298322.819706,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298323.346325,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298323.968627,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298324.491182,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298325.022401,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298325.850087,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298325.85301,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298356.035398,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298357.497451,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298358.343346,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298358.68066,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298359.693027,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298360.005954,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298360.632657,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298360.840843,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ALXW2ZXX4SJRO'}
1614298361.781296,ALXW2ZXX4SJRO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'ALXW2ZXX4SJRO'}
