
1624779129.93787,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779129.939675,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779130.053357,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779130.853036,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779131.277467,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779131.43919,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779132.701443,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779132.728162,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779133.821076,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779133.951616,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779136.263665,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779136.434534,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779137.814531,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779138.531558,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779138.665406,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10MSB9X1UFLJ5'}
1624779138.817904,A10MSB9X1UFLJ5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A10MSB9X1UFLJ5'}
