
1625190097.818469,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3CW3HM9HVNVK'}
1625190098.021154,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3CW3HM9HVNVK'}
1625190098.126392,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3CW3HM9HVNVK'}
1625190100.076202,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3CW3HM9HVNVK'}
1625190100.076894,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3CW3HM9HVNVK'}
1625190129.911109,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3CW3HM9HVNVK'}
1625190131.753656,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3CW3HM9HVNVK'}
1625190131.867268,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3CW3HM9HVNVK'}
1625190132.677779,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3CW3HM9HVNVK'}
1625190132.704411,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3CW3HM9HVNVK'}
1625190133.081246,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3CW3HM9HVNVK'}
1625190133.205844,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CW3HM9HVNVK'}
1625190133.597255,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CW3HM9HVNVK'}
1625190133.653525,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3CW3HM9HVNVK'}
1625190133.789555,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3CW3HM9HVNVK'}
1625190135.075504,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3CW3HM9HVNVK'}
1625190135.110943,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3CW3HM9HVNVK'}
1625190135.369436,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3CW3HM9HVNVK'}
1625190135.815267,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3CW3HM9HVNVK'}
1625190136.66823,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3CW3HM9HVNVK'}
1625190136.702837,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CW3HM9HVNVK'}
1625190136.835046,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3CW3HM9HVNVK'}
1625190136.913831,A3CW3HM9HVNVK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3CW3HM9HVNVK'}
