
1621129603.726067,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129604.649214,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129606.798836,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129608.332417,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129610.491541,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129611.105984,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129611.71453,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129612.121451,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129612.940569,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129613.250754,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129613.86185,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129614.578811,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129615.406805,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129615.45778,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1R8A8BK2VN7RH'}
1621129645.809386,A1R8A8BK2VN7RH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1R8A8BK2VN7RH'}
