
1617476991.413964,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476992.738358,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476993.070172,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476993.880561,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476994.755241,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476995.694502,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476996.351129,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476996.636718,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476997.681264,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476997.992526,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476999.406884,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476999.994517,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3JC9VPPTHNKVL'}
1617477000.654963,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3JC9VPPTHNKVL'}
1617477001.442412,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JC9VPPTHNKVL'}
